Timestamp,Location,Shop/Owner/Business Name,"I own or use a smartphone for my business activities (ordering, payments, messaging).",I regularly use the internet (WhatsApp/social media) to communicate with customers or suppliers.,My shop accepts UPI/mobile payments.,"I have used any online marketplace (e.g., local delivery apps or e-commerce) to sell my products.",I avoid digital tools because I find them too difficult to use.,Accepting digital payments (UPI/cards) increased the number of customers who buy from me.,Using digital payments helps prevent theft or loss of cash in my shop.,Transaction fees or costs for digital payments are a burden for my business.,Using digital payments made bookkeeping (tracking sales) easier for me.,Using digital tools helped me increase sales and reach new customers beyond my local area.,Digital messaging and ordering helped me get repeat customers and made daily operations faster.,"I spend money to maintain digital services (mobile data, phone, app fees).",Digital record-keeping (in apps or spreadsheets) helped me manage purchases and stock.,I worry about fraud or wrong payments when using digital platforms.,I lost money due to digital transactions in the past.,I plan to use more digital tools in the next 12 months.
23/12/2025 19:15:45,"Uluberia, Howrah, West Bengal",Vegetable Shop 1,Neutral,Strongly disagree,Yes,No,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral
23/12/2025 19:23:10,"Uluberia, Howrah, West Bengal",Vegetable Shop 2,Strongly Disagree,Strongly disagree,Yes,No,Agree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Disagree
23/12/2025 19:25:20,"Uluberia, Howrah, West Bengal",Vegetable Shop 3,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 19:44:01,"Uluberia, Howrah, West Bengal",Vegetable Shop 4,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 19:58:12,"Uluberia, Howrah, West Bengal",Vegetable Shop 5,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:09:17,"Uluberia, Howrah, West Bengal",Vegetable Shop 6,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:15:03,"Uluberia, Howrah, West Bengal",Vegetable Shop 7,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:17:47,"Uluberia, Howrah, West Bengal",Clothes Shop 1,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:19:43,"Uluberia, Howrah, West Bengal",Flower Shop 1,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:20:58,"Uluberia, Howrah, West Bengal",Cake Shop 1,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
23/12/2025 20:35:21,"Uluberia, Howrah, West Bengal",Momo Shop 1,Agree,Neutral,Yes,No,Neutral,Agree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Neutral,Disagree,Disagree,Agree
23/12/2025 20:48:13,"Uluberia, Howrah, West Bengal",Momo Shop 2,Agree,Agree,Yes,No,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
23/12/2025 21:07:29,"Uluberia, Howrah, West Bengal",Tea Shop 1,Strongly Agree,Strongly disagree,Yes,No,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral
23/12/2025 21:26:31,"Uluberia, Howrah, West Bengal",Tea Shop2,Strongly Agree,Disagree,Yes,No,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neutral
23/12/2025 21:27:51,"Uluberia, Howrah, West Bengal",Tea Shop 3,Agree,Disagree,Yes,No,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
23/12/2025 21:31:00,"Uluberia, Howrah, West Bengal",Bag Shop 1,Disagree,Disagree,No,No,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree
24/12/2025 18:23:42,"Uluberia, Howrah, West Bengal",Clock Stop1,Agree,Disagree,Yes,No,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree
